0xE31FEB46, clientids_shared
0x64AE4F77, zombie_weapons
0xF636F281, set_stat
0xC571857E, name
0x9AD0BCDE, stats
0xC04CB1, d36ac800-b4f8-4a37-875e-770bb41f5641
0xDB477A2B, daa87744-44a9-4e90-8195-ac99693bba7c
0xB4637D1B, 46e28a91-d1a6-4c2d-9a1c-b6835cad6316
0xDBD08297, 97c74308-3f6b-4375-96e4-e4347a17c2db
0x1B4F272A, 37ddc3b0-ec17-4030-b2ba-b458bbd85974
0xE613FE92, 6a561c3c-a7ed-464c-84ce-982594aa4571
0xBDDDE40, c801c400-0cfc-4ba9-abe1-527152928ad7
0x9DD569E0, 90a535e7-281e-4515-9a68-50ad2da25fea
0x47479EBE, 62d9e055-687d-42e9-b082-a957ddb6eb49
0x7A7F3EE0, group
0xAD9D7F00, groups
0x3225E316, stat
0xE1092D2B, d3059fa8-def5-49ce-bed4-14dbcb4f0484
0x554E8884, end
0x5DAD450C, start
0x9272D068, a
0xDD79EA5F, spawnstruct
0xECB082C1, tablelookup
0xC90C8B5C, type
0xF2517D9, getweaponclasszm
0x834E6250, zm_utility
0xA7664148, addweaponstat
0x4A099A64, aimbot
0xD2670DB3, loc
0xD63BD11A, closestzombie
0x5FD4CD7C, get_all_closest
0x16E7A6D7, isfiring
0x64DE298A, isalive
0x66AE57A7, ismeleeing
0xCD1FC6F5, setplayerangles
0xE6FB74DF, vectortoangles
0x8E6F21F1, kill
0x9CAC6577, 2349fc94-045e-4f88-9667-5c7cc6c5363b
0xA213D9A7, b8a731b0-3af5-43ea-82c8-fb098bf4e5dc
0x1655ABBF, 425d7901-86e9-49ce-912a-dc766957c542
0xBAA27BBD, 14ced73e-9e21-4062-89ea-09ac7c63d934
0x2330A773, show_chest
0x57775C43, zm_magicbox
0xB1FAA4BD, jugg
0x8060662C, spawn_model
0xC520D445, setscale
0x77254628, spawnactor
0x7085D850, angles
0xE7B7E821, set_round_number
0xCA1F020F, score
0x8A431644, zm_stats
0x28749380, addtestclient
0x806614C0, 3fde0234-fe64-445e-abe1-bf5a5f005d10
0xB024CF4E, d56a81c8-7a7d-4b21-a2c0-396e1b476d2a
0x519E397C, e8b80dad-41be-487c-960d-f11f51f98d08
0x6D7CC2E6, 11927729-7276-47c3-92ae-37ffa9e54ad8
0x813E9A39, 565b4434-a943-421e-a6d4-b353c07c485f
0xDF1DCAC1, edf6fe4c-f344-43d8-afc3-9b4956a9697f
0xF59F70D6, 922a3299-f887-4cec-8830-dd311ba8a3d2
0xC7748D75, b167805a-4263-4790-a9f2-097464038264
0x57D9AD1F, door
0xBDCA77DD, b4823824-0a24-4adc-8be7-9d48d7f6d062
0xBEE233D8, 6c33e2d1-0fa7-4b54-9dfe-9d324c1ea983
0x917609FD, d6c6a2fd-375f-4659-89b4-1d536261e141
0xBD96E09A, 12940cc4-0e5a-4aed-af63-99588ac487eb
0xAED02A3, trig
0x2DDFD734, all_trigs
0x73CFDB84, zombie_doors
0x9E0D84B0, types
0xD279413D, getentarray
0x85B35200, _door_open
0xCC2B17B5, door_opened
0x34BCEE61, zm_blockers
0x59691B68, target
0xBD646C9, set_hint_string
0xA4E403BC, _doors_done
0xF2244DD3, args
0x5FC5FB39, val1
0x86081C39, fd9d890b-1c0a-4c49-a15f-75fff5f6555b
0x327BAB24, b0b81887-3640-4026-b772-851260947bc1
0x244E7674, 881b2cc8-3b08-481b-aff7-e43c5548698b
0x37CA8D22, ce5d782f-41f9-47bc-857a-d84eda4d08b3
0x28DF0AA2, message
0x8946E9BA, bgb
0x4EA09052, give
0x11F2BA1F, current_origin
0x40522378, script
0x52C443F0, mapname
0xF42D8C7F, map
0x5F3F2402, powerup
0x78A265B, specific_powerup_drop
0x4BA91026, zm_powerups
0xC9781269, coords
0x24F00E3C, location
0xD415BD0D, id
0xBE94C4F, acquire
0x5FB8261B, aat
0x2F6020C8, camo
0x42B65B4C, calcweaponoptions
0x63C11607, setmovespeedscale
0xD2C4DBE0, personal_instakill
0x8D72F049, val
0xB580D605, savelocationangle
0x238A14E3, saveloctog
0x98858A45, iprintln
0x8999F00C, 800fa64e-7fa3-42b9-9eba-ca0027d3bdb9
0x6877F019, borigin
0x329A9A76, bangles
0x5B9A7A2A, right
0xB35F2815, forward
0x80ADE7B5, chest_index
0x31F05A63, zbarrier
0x59AD4D4F, anglestoright
0x6B1B301D, randomint
0x6360E4B4, no_fly_away
0x1380A21F, currentnum
0x3242DF5A, jumpbuttonpressed
0x78A7772C, setvelocity
0xC8A4C626, getvelocity
0xA181E108, isonground
0xB8D0FD3D, 6fbf2b21-8844-450e-9451-dc5edd0f123a
0xC9997D8E, 4ecb1675-9ddf-4f1e-9b56-dca4004f338c
0x582FD4CE, a828d5a5-996a-4c58-b153-5275d28f27e3
0x97AB076D, 624e1223-9349-47ed-b281-ff32d7ace3a3
0x28747C75, i
0x664F80FF, bo4nofalld
0x2199F231, auto_revive
0xEB24D3B9, zm_laststand
0xDAC0824C, register
0xE90FD9B0, system
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0x348AF419, on_spawned
0x364943FC, menuthreaded
0xE5F5767D, menuname
0x85CF58F1, menudeveloper
0x8E1F5A5F, autoverify
0xAEBD513B, strtok
0xC61CE003, menustatus
0xA5E703C4, ishost
0x991DA49F, playersetting
0xE82DFD3F, definedvariables
0x7F7201FA, menu
0xB34E5C08, b84aaa8b-546e-42e8-90b7-dbf91a2f4725
0x526F1E6D, foundplayer
0xCCDB982F, sepmenu
0x7C904744, 53fde62f-5922-4aaf-80a4-f3f0551a7320
0x693374F2, 69d2e9f8-1103-497f-9958-72b7bf02c4eb
0x75BBEBAB, 720a327a-28dd-409f-98a8-b4e6419b3aba
0x3D5C77D4, b8c9c812-ff8d-425f-92b4-71c74f4f76e6
0xBD3940B, getentitynumber
0x79B89FCF, false
0xD769F1B0, 503e49d1-be7d-4f1f-aff5-7d1697fedb22
0xECDED55B, altsubs
0xC11E58A3, randomintrange
0xAC7AE1BF, inc
0x3F03C370, curs
0x403E643E, arry
0x343D44EC, adsbuttonpressed
0x446C40A1, meleebuttonpressed
0x793E8F76, attackbuttonpressed
0x159E1B60, usebuttonpressed
0x9D6CE02A, func
0xD3FDDAAF, slider
0x661273A5, incslider
0x7267E1A9, input4
0x63A54424, input3
0x95E4A8A2, input2
0x892B0F2F, input1
0x15034E66, menu_ss
0x8E828E44, menu_s
0x8F2C1038, bool
0xE350EAC1, secondaryoffhandbuttonpressed
0x86842DFD, fragbuttonpressed
0x16131FB9, intincrement
0xD46AE1F6, function
0x209C562D, i1
0xA08FD616, i2
0x52D53AA2, i3
0x45709FD9, i4
0x67C3E47F, i5
0xE7896404, i6
0x5026CAD6, printsize
0xC9F3BA19, str
0xCE97EE60, text
0x2BAD76D3, numopts
0x9E0E664A, title
0x4EB63B8A, gettime
0xEC951849, lastrefresh
0xB0EAD2F8, menu_b
0xB1439CFB, menuparent
0x39984A0F, temp
0xB74AB703, name2
0xEF3C1F23, incslidermin
0xBA3471A7, incsliderstart
0x5A0B101B, incslidermax
0x79851764, menu_st
0x5107AEB0, count
0x8E01F173, var
0x2012C955, min
0x3E83A132, max
0x6DF92736, increment
0xCE63585A, vals
0x5117DFCC, getsubstr
0xDBA83C1A, newarray
0xFE31E10E, exitlevel
0xD87C4CA9, msg
0x5595175E, 05de244a-c48b-443d-9393-1e318ae04247
0xECDDC2B9, 2f6d35f8-4a0f-4f0d-ad7d-bbcfeef28ced
0xDE0DFFF8, 07ecf2ad-fb0b-4b7a-9aaf-959cb9556717
0x7FD7751C, a61ecf72-e98d-4826-b4b1-283735a21ff8
